"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Paranemertes sp B","Paranemertes californica","of Coe 1940 not Coe 1904",,
"Ototyphlonemertes spiralis","Ototyphlonemertes (Otohelicophora) spiralis","of Envall 1996",,
"Prosorhochmus albidus","Tetrastemma albidum","Coe 1905",,
"Prosorhochmus albidus","Monostylifera sp B","SCAMIT 1995 º",,
"Prosorhochmus albidus","Monostylifera sp C","SCAMIT 1995 º",,
"Oerstedia dorsalis Cmplx","Planaria dorsalis","Abildgaard 1806",,
"Oerstedia dorsalis Cmplx","Tetrastemma dorsalis","McIntosh 1873",,
"Oerstedia dorsalis Cmplx","Tetrastemma (Oerstedia) dorsale","Coe 1904",,
"Amphiporus bimaculatus","Collarenemertes bimaculatus","Chernyshev 1993",,
"Amphiporus bimaculatus","Nipponemertes bimaculata","(Coe 1901)",,
"Amphiporus cruentatus","Amphiporus leptacanthus","Coe 1905",,
"Amphiporus formidabilis","Amphiporus exilis","Coe 1901",,
"Amphiporus imparispinosus","Amphiporus luciodus","Coe 1901",,
"Amphiporus imparispinosus","Amphiporus similis","Coe 1905",,
"Zygonemertes virescens","Amphiporus virescens","Verrill 1879",,
"Zygonemertes virescens","Amphiporus agilis","Verrill 1879",,
"Amphinemertes caeca","Tetrastemma caecum","Coe 1901",,
"Quasitetrastemma nigrifrons","Tetrastemma nigrifrons","Coe 1904",,
"Quasitetrastemma nigrifrons","Nemertea sp A","Paquette 1989 º",,
"Tetrastemma candidum","Planaria candida","O. F. Mnller 1774",,
"Hoplonemertea sp A SCAMIT 2007 º","Tetrastemma sp A","SCAMIT 1995 º",,
"Hoplonemertea sp A SCAMIT 2007 º","Tetrastemma sp D","MEC/Ljubenkov 1988 º",,
"Hoplonemertea sp B","Hoplonemertea sp HYP1","SCAMIT 2007 º",,
"Hoplonemertea sp C","Hoplonemertea sp HYP2","SCAMIT 2007 º",,
"Enopla sp B","Anopla sp B","SCAMIT 1995 º",,
"Barentsia benedeni","Pedicellina benedeni","Foettinger 1887",,
"Barentsia benedeni","Ascopodaria gracilis","of Craig 1929 not (M. Sars 1835)",,
"Barentsia benedeni","Barentsia gracilis","of Hedgpeth 1964 not (M. Sars 1835)",,
"Barentsia discreta","Ascopodaria discreta","Busk 1886",,
